596,湖南天润数字娱乐文化传媒股份有限公司,湖南,岳阳市,2.06亿,538.69万,227,2007-02-08,--,游戏,移动游戏的代理运营和推广、优易付计费及互联网广告精准投放、房屋租赁,移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。
597,云南罗平锌电股份有限公司,云南,曲靖市,16.19亿,5471.23万,1696,2007-02-15,--,铅锌,锌锭、锌合金、铅精矿,水力发电、铅锌矿的开采、选矿、铅锌金属的冶炼及附属产品的提炼。
598,三维通信股份有限公司,浙江,杭州市,11.81亿,4568.49万,1059,2007-02-15,--,通信配套服务,移动通信网络设备及系统解决方案综合服务业务、卫星通信业务、广告业务、自媒体业务、游戏联运、安全专网融合通信设备及解决方案、5G通信基础设施建设及运营服务,通信业务和互联网广告传媒业务。
599,中国海诚工程科技股份有限公司,上海,上海市,41.99亿,2.01亿,4803,2007-02-15,--,专业工程,承包、设计、监理、咨询,为国内外工程建设提供设计、咨询、监理和总承包服务。
600,东港股份有限公司,山东,济南市,14.30亿,2.31亿,1606,2007-03-02,--,包装印刷,印刷类业务、覆合类业务、技术服务类业务,"印刷类业务,覆合类业务和技术服务类业务。"
821,新纶新材料股份有限公司,广东,深圳市,20.64亿,1.65亿,1605,2010-01-22,--,化学新材料,电子功能材料、光电显示材料、新能源材料、精密制造业务、净化工程、个人防护用品,先进功能性高分子材料的研发、生产、销售以及新材料的精密制造，辅以净化工程业务和个人防护用品的生产销售。
822,巨力索具股份有限公司,河北,保定市,14.16亿,-1716.18万,2205,2010-01-26,--,金属制品,吊带缆绳系列、链条系列、钢丝绳索具系列、钢丝绳系列、夹具吊梁滑车系列、连接件设备系列、缆索系列、钢拉杆系列、起重机结构件系列,索具及相关产品的研发、设计、生产和销售。
823,慈文传媒股份有限公司,浙江,嘉兴市,16.66亿,4.12亿,163,2010-01-26,--,影视,影视、游戏产品、渠道推广,从事影视、游戏产品及渠道推广、艺人经纪服务和广告业务。
824,海宁中国皮革城股份有限公司,浙江,嘉兴市,18.83亿,2.83亿,1242,2010-01-26,--,专业市场,物业租赁及管理、商铺及配套物业销售,皮革专业市场的开发、租赁和服务。
825,广东潮宏基实业股份有限公司,广东,汕头市,30.86亿,2.84亿,5242,2010-01-28,--,珠宝首饰,珠宝首饰、时尚女包,从事中高端时尚消费品的品牌管理和产品的设计、研发、生产及销售。
826,上海柘中集团股份有限公司,上海,上海市,4.53亿,2.59亿,485,2010-01-28,--,其他输变电设备,成套开关设备、备品备件、PHC管桩、建筑安装,成套开关设备的生产和销售及投资业务。
